date,value
1947-04-01,3.17161
1947-07-01,7.38273
1947-10-01,9.85567
1948-01-01,4.4156
1948-04-01,4.1099
1948-07-01,6.07089
1948-10-01,-1.27045
1949-01-01,-3.16182
1949-04-01,-2.44433
1949-07-01,-2.32954
1949-10-01,-0.32462
1950-01-01,-0.65004
1950-04-01,1.91458
1950-07-01,8.26621
1950-10-01,7.07204
1951-01-01,12.51348
1951-04-01,3.18799
1951-07-01,0.53884
1951-10-01,5.2603
1952-01-01,1.70877
1952-04-01,-0.08821
1952-07-01,2.60855
1952-10-01,0.67136
1953-01-01,1.48466
1953-04-01,0.58072
1953-07-01,2.17022
1953-10-01,1.72774
1954-01-01,2.00631
1954-04-01,-0.54358
1954-07-01,-1.31909
1954-10-01,-0.40233
1955-01-01,1.29176
1955-04-01,0.40103
1955-07-01,1.5716
1955-10-01,1.08224
1956-01-01,1.64621
1956-04-01,2.68183
1956-07-01,3.89182
1956-10-01,2.33366
1957-01-01,3.58499
1957-04-01,2.5178
1957-07-01,3.23338
1957-10-01,2.07835
1958-01-01,4.89655
1958-04-01,0.74394
1958-07-01,0.29188
1958-10-01,-0.15918
1959-01-01,2.72389
1959-04-01,1.63072
1959-07-01,2.4076
1959-10-01,2.18566
1960-01-01,0.51864
1960-04-01,2.06786
1960-07-01,1.51822
1960-10-01,1.7427
1961-01-01,0.74091
1961-04-01,-0.02553
1961-07-01,1.42693
1961-10-01,0.43217
1962-01-01,1.72403
1962-04-01,1.41423
1962-07-01,1.08254
1962-10-01,1.20497
1963-01-01,1.15137
1963-04-01,0.62436
1963-07-01,1.94175
1963-10-01,1.46252
1964-01-01,1.90071
1964-04-01,0.86098
1964-07-01,1.30026
1964-10-01,1.32046
1965-01-01,1.29178
1965-04-01,2.03884
1965-07-01,1.4741
1965-10-01,1.22829
1966-01-01,3.09011
1966-04-01,3.23215
1966-07-01,3.04184
1966-10-01,3.08882
1967-01-01,1.14056
1967-04-01,1.90145
1967-07-01,3.70725
1967-10-01,3.42331
1968-01-01,4.2271
1968-04-01,4.07162
1968-07-01,4.11873
1968-10-01,4.40371
1969-01-01,3.85974
1969-04-01,5.06064
1969-07-01,4.87114
1969-10-01,4.58368
1970-01-01,4.61404
1970-04-01,4.39868
1970-07-01,3.88765
1970-10-01,5.14534
1971-01-01,3.78155
1971-04-01,4.52624
1971-07-01,3.91647
1971-10-01,2.46202
1972-01-01,4.19651
1972-04-01,2.30832
1972-07-01,3.4938
1972-10-01,3.241
1973-01-01,4.81278
