date,value
1947-04-01,768.5649999999999
1947-07-01,768.36
1947-10-01,769.914
1948-01-01,771.409
1948-04-01,773.048
1948-07-01,773.621
1948-10-01,773.7339999999999
1949-01-01,772.3480000000001
1949-04-01,772.007
1949-07-01,773.0360000000001
1949-10-01,772.1949999999999
1950-01-01,776.051
1950-04-01,779.056
1950-07-01,782.849
1950-10-01,784.746
1951-01-01,786.094
1951-04-01,787.812
1951-07-01,789.851
1951-10-01,790.069
1952-01-01,791.1310000000001
1952-04-01,791.345
1952-07-01,792.063
1952-10-01,795.2950000000001
1953-01-01,797.1370000000001
1953-04-01,797.907
1953-07-01,797.343
1953-10-01,795.817
1954-01-01,795.3389999999999
1954-04-01,795.448
1954-07-01,796.5709999999999
1954-10-01,798.509
1955-01-01,801.326
1955-04-01,802.94
1955-07-01,804.282
1955-10-01,804.881
1956-01-01,804.492
1956-04-01,805.315
1956-07-01,805.226
1956-10-01,806.8580000000001
1957-01-01,807.4960000000001
1957-04-01,807.277
1957-07-01,808.2520000000001
1957-10-01,807.212
1958-01-01,804.5820000000001
1958-04-01,805.237
1958-07-01,807.5240000000001
1958-10-01,809.835
1959-01-01,811.735
1959-04-01,813.9639999999999
1959-07-01,814.033
1959-10-01,814.3179999999999
1960-01-01,816.5419999999999
1960-04-01,816.002
1960-07-01,816.4899999999999
1960-10-01,815.199
1961-01-01,815.8720000000001
1961-04-01,817.555
1961-07-01,819.458
1961-10-01,821.4000000000001
1962-01-01,823.1680000000001
1962-04-01,824.0690000000001
1962-07-01,825.2909999999999
1962-10-01,825.62
1963-01-01,826.7060000000001
1963-04-01,827.8219999999999
1963-07-01,829.997
1963-10-01,830.651
1964-01-01,832.7379999999999
1964-04-01,833.821
1964-07-01,835.371
1964-10-01,835.68
1965-01-01,838.071
1965-04-01,839.3269999999999
1965-07-01,841.526
1965-10-01,843.803
1966-01-01,846.2080000000001
1966-04-01,846.5490000000001
1966-07-01,847.3919999999999
1966-10-01,848.209
1967-01-01,849.0909999999999
1967-04-01,849.1519999999999
1967-07-01,850.094
1967-10-01,850.845
